5492148624;SIM;;'89550531590019804786
5492127054;NÃO;;'89550534590003225680
5492112244;NÃO;;'89550534590003225672
5492072891;SIM;;'89550532580012125296
5492072790;NÃO;;'89550532580012125288
5492072722;SIM;;'89550532580012125270
5492072717;NÃO;;'89550532580012125262
5492055762;SIM;;'89550534400009567517
5492042370;SIM;;'89550531580016050368
5492042195;SIM;;'89550535590005196151
5492041725;SIM;;'89550535590005196110
5492041259;SIM;;'89550535590005196136
5492040844;SIM;;'89550535590005196169
5492040780;SIM;;'89550535590005196177
5492040574;SIM;;'89550535590005196128
5492037809;SIM;;'89550534400009567541
5492027574;SIM;;'89550534400009567574
5492024219;NÃO;;'89550534400009567558
5492023455;SIM;;'89550534400009567582
5492009474;SIM;;'89550534400009567566
5492003179;SIM;;'89550534400009567590
5491969862;SIM;;'89550534400009567525
5491929826;SIM;;'89550531580016044668
5491891220;SIM;;'89550531580016050806
5491847305;NÃO;;'89550534400009567079
5491837118;SIM;;'89550535590002918367
5491835154;SIM;;'89550531580016051069
5491832590;SIM;;'89550531580016050921
5491831534;SIM;;'89550535590002918342
5491830556;SIM;;'89550532580013284696
5491826686;SIM;;'89550535590002918359
5491826063;NÃO;;'89550532590013463174
5491825322;NÃO;;'89550532590013462895
5491823693;SIM;;'89550531580016044676
5491822658;SIM;;'89550535400003477811
5491822450;SIM;;'89550535590002918052
5491822318;SIM;;'89550531580016044684
5491821179;SIM;;'89550532590013463018
5491820320;SIM;;'89550535590002918110
5491816011;SIM;;'89550535590002918151
5491805905;NÃO;;'89550532590013463208
5491805618;NÃO;;'89550532590013463117
5491805255;NÃO;;'89550534400009567095
5491797073;NÃO;;'89550535590002918078
5491794480;SIM;;'89550532590013463067
5491792467;NÃO;;'89550535590002918029
5491788864;SIM;;'89550532590013462879
5491779455;SIM;;'89550531580016050558
5491776185;SIM;;'89550532590013462937
5491769941;NÃO;;'89550535590002918037
5491768501;SIM;;'89550535590002918177
5491768036;NÃO;;'89550532590013463109
5491762144;SIM;;'89550535590002918383
5491759918;SIM;;'89550531580016050566
